name,type,source,producers,genre,studio,episodes,status,start_date,end_date,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,duration_in_minutes,log_scored_by,log_members,log_favorites,season,year,only_year,weekday,time,time_in_minutes
Majime ni Fumajime Kaiketsu Zorori,TV,Unknown,Nagoya Broadcasting Network,Adventure,Ajia-Do,97.0,Finished Airing,2005-02-13,2007-01-02,24 min per ep,PG - Children,6.97,184,3776,9672,638,3,Winter 2005,Unknown,24.0,5.220355825078325,6.459904454377535,1.3862943611198906,Winter,2005-01-01,2005,Unknown,,
Urayasu Tekkin Kazoku,TV,Unknown,TBS,Comedy,Studio Deen,33.0,Finished Airing,1998-06-30,1998-08-02,7 min per ep,R - 17+ (violence & profanity),7.08,381,3370,8384,1252,9,Summer 1998,Unknown,7.0,5.945420608606575,7.133295954896068,2.302585092994046,Summer,1998-01-01,1998,Unknown,,
MapleStory,TV,Game,TV Tokyo,Action,Madhouse,25.0,Finished Airing,2007-10-07,2008-03-03,25 min per ep,PG - Children,5.44,971,9042,5855,3832,4,Fall 2007,Unknown,25.0,6.879355804460439,8.251403065380556,1.6094379124341003,Fall,2007-01-01,2007,Unknown,,
Sweet Valerian,TV,Original,Aniplex,Action,Madhouse,18.0,Finished Airing,2004-08-01,2004-12-01,3 min per ep,G - All Ages,5.8,714,8251,7288,2056,2,Summer 2004,Unknown,3.0,6.5722825426940075,7.6290038896529575,1.0986122886681096,Summer,2004-01-01,2004,Unknown,,
Mugen Senki Portriss,TV,Unknown,TV Tokyo,Action,Sunrise,52.0,Finished Airing,2003-04-05,2004-03-02,25 min per ep,PG - Children,5.61,31,12106,11410,269,0,Spring 2003,Unknown,25.0,3.4657359027997265,5.598421958998375,0.0,Spring,2003-01-01,2003,Unknown,,
Mojakou,TV,Unknown,TV Tokyo,Comedy,OLM,74.0,Finished Airing,1995-10-03,1997-03-03,25 min per ep,G - All Ages,7.26,805,2635,7882,1557,10,Fall 1995,Tuesdays at 18:30 (JST),25.0,6.692083742506628,7.351158226430694,2.3978952727983707,Fall,1995-01-01,1995,Tuesdays,18:30:00,1110.0
Monkey Turn V,TV,Manga,AIC,Action,OLM,25.0,Finished Airing,2004-07-04,2004-12-01,24 min per ep,PG-13 - Teens 13 or older,6.56,66,5542,10672,392,0,Summer 2004,Unknown,24.0,4.204692619390966,5.973809611869261,0.0,Summer,2004-01-01,2004,Unknown,,
Potemayo,TV,4-koma manga,Lantis,Comedy,J.C.Staff,12.0,Finished Airing,2007-07-07,2007-09-02,24 min per ep,PG-13 - Teens 13 or older,7.35,5274,2280,3518,13369,63,Summer 2007,Unknown,24.0,8.570733958344267,9.500768670095988,4.1588830833596715,Summer,2007-01-01,2007,Unknown,,
Tetsuwan Atom,TV,Manga,Meiji Seika,Action,Mushi Production,193.0,Finished Airing,1963-01-01,1966-12-03,26 min per ep,PG - Children,7.24,1875,2721,4543,7190,31,Winter 1963,Saturdays at 19:00 (JST),26.0,7.53689712956617,8.880585523102495,3.4657359027997265,Winter,1963-01-01,1963,Saturdays,19:00:00,1140.0
Heisei Inu Monogatari Bow,TV,Original,Daiichikosho,Adventure,Nippon Animation,40.0,Finished Airing,1993-10-14,1994-09-02,25 min per ep,G - All Ages,6.84,213,4248,9727,622,2,Fall 1993,Unknown,25.0,5.365976015021851,6.434546518787453,1.0986122886681096,Fall,1993-01-01,1993,Unknown,,
Shippuu! Iron Leaguer,TV,Original,TV Tokyo,Mecha,Sunrise,52.0,Finished Airing,1993-04-06,1994-03-02,24 min per ep,PG-13 - Teens 13 or older,7.16,175,3056,9470,716,12,Spring 1993,Tuesdays at 18:00 (JST),24.0,5.170483995038151,6.57507584059962,2.5649493574615367,Spring,1993-01-01,1993,Tuesdays,18:00:00,1080.0
Igano Kabamaru,TV,Manga,Toho,Action,Group TAC,24.0,Finished Airing,1983-10-20,1984-03-02,23 min per ep,PG-13 - Teens 13 or older,8.03,2816,529,4602,6958,102,Fall 1983,Thursdays at 19:00 (JST),23.0,7.943427767876373,8.84779106484485,4.634728988229636,Fall,1983-01-01,1983,Thursdays,19:00:00,1140.0
Super Doll Licca-chan,TV,Unknown,TV Tokyo,Adventure,Madhouse,52.0,Finished Airing,1998-10-06,1999-09-02,25 min per ep,G - All Ages,6.63,872,5234,6880,2470,2,Fall 1998,Tuesdays at 18:30 (JST),25.0,6.771935555839602,7.81237820598861,1.0986122886681096,Fall,1998-01-01,1998,Tuesdays,18:30:00,1110.0
Galactic Patrol Lensman,TV,Unknown,Tatsunoko Production,Action,Madhouse,25.0,Finished Airing,1984-10-06,1985-03-03,25 min per ep,PG-13 - Teens 13 or older,6.47,133,5907,9262,796,1,Fall 1984,Unknown,25.0,4.897839799950911,6.680854678790215,0.6931471805599453,Fall,1984-01-01,1984,Unknown,,
Juushin Enbu: Hero Tales,TV,Manga,Square Enix,Action,Studio Flag,26.0,Finished Airing,2007-10-08,2008-03-03,24 min per ep,PG-13 - Teens 13 or older,6.93,7464,3911,2862,20379,38,Fall 2007,Unknown,24.0,8.91798070997329,9.922309306776716,3.6635616461296463,Fall,2007-01-01,2007,Unknown,,
Saint Luminous Jogakuin,TV,Original,Genco,Mystery,Triangle Staff,13.0,Finished Airing,1998-10-06,1998-12-03,24 min per ep,PG-13 - Teens 13 or older,6.13,579,7309,7247,2096,4,Fall 1998,Tuesdays at 01:15 (JST),24.0,6.363028103540465,7.64826303090192,1.6094379124341003,Fall,1998-01-01,1998,Tuesdays,01:15:00,75.0
Bakegyamon,TV,Manga,TV Tokyo,Action,Radix,51.0,Finished Airing,2006-04-03,2007-03-02,25 min per ep,PG - Children,6.76,416,4600,7344,2010,13,Spring 2006,Mondays at 18:00 (JST),25.0,6.0330862217988015,7.606387389772652,2.639057329615259,Spring,2006-01-01,2006,Mondays,18:00:00,1080.0
Shakugan no Shana II (Second),TV,Light novel,Geneon Universal Entertainment,Action,J.C.Staff,24.0,Finished Airing,2007-10-05,2008-03-02,24 min per ep,PG-13 - Teens 13 or older,7.7,131427,1120,362,231616,1088,Fall 2007,Fridays at 01:25 (JST),24.0,11.78621445213437,12.352840424405114,6.9930151229329605,Fall,2007-01-01,2007,Fridays,01:25:00,85.0
B-Legend! Battle B-Daman,TV,Manga,TV Tokyo,Adventure,Nippon Animation,52.0,Finished Airing,2004-01-05,2004-12-02,22 min per ep,PG - Children,6.35,4796,6401,4174,8816,24,Winter 2004,Mondays at 18:00 (JST),22.0,8.475746001502063,9.084436955087027,3.2188758248682006,Winter,2004-01-01,2004,Mondays,18:00:00,1080.0
Dragonaut: The Resonance,TV,Original,Nihon Ad Systems,Action,Gonzo,25.0,Finished Airing,2007-10-04,2008-03-02,25 min per ep,R+ - Mild Nudity,6.75,25063,4663,1522,57499,102,Fall 2007,Unknown,25.0,10.129187832632027,10.959540226785442,4.634728988229636,Fall,2007-01-01,2007,Unknown,,
Densetsu no Yuusha Da Garn,TV,Unknown,Nagoya Broadcasting Network,Mecha,Sunrise,46.0,Finished Airing,1992-02-08,1993-01-02,24 min per ep,PG-13 - Teens 13 or older,7.25,586,2654,6722,2662,13,Winter 1992,Unknown,24.0,6.375024819828097,7.887208585813932,2.639057329615259,Winter,1992-01-01,1992,Unknown,,
Hana no Mahoutsukai Mary Bell,TV,Original,Big West,Adventure,Production Reed,50.0,Finished Airing,1992-02-03,1993-01-01,24 min per ep,G - All Ages,6.66,346,5057,7962,1500,7,Winter 1992,Mondays at 18:00 (JST),24.0,5.849324779946859,7.313886831633462,2.0794415416798357,Winter,1992-01-01,1992,Mondays,18:00:00,1080.0
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,TV,Other,TV Tokyo,Adventure,Telescreen BV,52.0,Finished Airing,1989-04-03,1990-03-02,23 min per ep,G - All Ages,7.38,2168,2144,5704,4085,40,Spring 1989,Unknown,23.0,7.682021510826875,8.315321775377567,3.713572066704308,Spring,1989-01-01,1989,Unknown,,
Dondon Domeru to Ron,TV,Original,TV Tokyo,Comedy,Telescreen BV,52.0,Finished Airing,1988-04-05,1989-03-02,25 min per ep,G - All Ages,6.78,318,4506,9522,695,1,Spring 1988,Mondays at 17:00 (JST),25.0,5.765191102784844,6.54534966033442,0.6931471805599453,Spring,1988-01-01,1988,Mondays,17:00:00,1020.0
Geragera Boes Monogatari,TV,Other,TV Tokyo,Comedy,Telescreen BV,52.0,Finished Airing,1987-04-07,1988-03-02,24 min per ep,G - All Ages,7.12,583,3192,8591,1122,7,Spring 1987,Unknown,24.0,6.369900982828227,7.023758954738443,2.0794415416798357,Spring,1987-01-01,1987,Unknown,,
Toushou Daimos,TV,Unknown,Studio Nue,Adventure,Sunrise,44.0,Finished Airing,1978-04-01,1979-01-02,24 min per ep,PG - Children,7.25,2013,2683,5888,3785,23,Spring 1978,Unknown,24.0,7.607878073278507,8.239065331769268,3.1780538303479458,Spring,1978-01-01,1978,Unknown,,
